timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2025-01-07 17:45:54.101723,-1.1399999857,9.7899999619,-0.3599999845,-0.25,0.4375,1.375,-12.25,-19.5,-19.5
2025-01-07 17:45:54.180039,-0.8499999642,9.779999733,-0.4299999774,-0.5,-0.375,2.6875,-12.25,-19.1875,-19.5
2025-01-07 17:45:54.261766,-0.7699999809,9.8099994659,-0.349999994,-0.875,0.0625,0.1875,-12.25,-20.1875,-19.25
2025-01-07 17:45:54.343540,-0.9799999595,9.7699995041,-0.349999994,-0.5625,-0.25,0.75,-12.0,-20.1875,-20.75
2025-01-07 17:45:54.420801,-0.8899999857,9.8000001907,-0.3299999833,-0.25,0.0625,0.0,-12.25,-20.1875,-20.75
2025-01-07 17:45:54.501844,-0.8999999762,9.7899999619,-0.3299999833,-0.0625,-0.125,-0.125,-13.0,-19.875,-20.75
2025-01-07 17:45:54.584752,-0.8399999738,9.7699995041,-0.3100000024,0.0625,0.125,0.375,-12.25,-21.0,-21.1875
2025-01-07 17:45:54.663277,-0.8999999762,9.7699995041,-0.3199999928,0.1875,0.1875,0.0,-13.0,-20.1875,-19.5625
2025-01-07 17:45:54.744018,-0.8100000024,9.7899999619,-0.3299999833,0.0,-0.0625,0.625,-13.0,-19.875,-20.0625
2025-01-07 17:45:54.825365,-0.8199999928,9.779999733,-0.2999999821,0.5625,-0.3125,1.25,-12.6875,-20.1875,-22.0
2025-01-07 17:45:54.904344,-0.7599999905,9.8299999237,-0.3999999762,0.625,-0.25,-0.1875,-13.0,-19.875,-20.75
2025-01-07 17:45:54.983908,-1.0,9.8099994659,-0.4699999988,0.4375,0.1875,-0.8125,-13.0,-19.5,-20.375
2025-01-07 17:45:55.064528,-0.8899999857,9.8199996948,-0.349999994,-0.4375,0.0,0.375,-13.375,-20.5625,-19.5625
2025-01-07 17:45:55.152842,-0.9300000072,9.779999733,-0.3599999845,-0.3125,0.1875,0.375,-12.25,-20.5625,-20.375
2025-01-07 17:45:55.235584,-0.8899999857,9.779999733,-0.3999999762,-0.5625,0.375,-0.125,-13.0,-20.5625,-20.375
2025-01-07 17:45:55.316714,-0.8100000024,9.8099994659,-0.3299999833,-0.5625,0.0,-0.125,-13.375,-19.875,-20.0
2025-01-07 17:45:55.397102,-0.8399999738,9.7699995041,-0.2899999917,-0.25,-0.125,-0.5,-12.25,-19.875,-19.5625
2025-01-07 17:45:55.484345,-0.8999999762,9.7899999619,-0.2999999821,0.0625,-0.4375,-0.3125,-13.75,-20.1875,-19.25
2025-01-07 17:45:55.567359,-0.8299999833,9.8000001907,-0.3599999845,0.1875,-0.375,0.625,-12.6875,-20.1875,-19.5625
2025-01-07 17:45:55.650892,-0.8299999833,9.8000001907,-0.3799999952,0.125,0.0,-0.1875,-12.6875,-21.0,-20.75
2025-01-07 17:45:55.729605,-0.8999999762,9.7899999619,-0.3400000036,-0.125,0.0625,-0.6875,-12.6875,-19.0625,-21.5625
2025-01-07 17:45:55.809749,-0.8599999547,9.7899999619,-0.3199999928,-0.125,0.0625,-0.375,-12.6875,-20.1875,-20.0625
2025-01-07 17:45:55.889831,-0.8899999857,9.7899999619,-0.2999999821,-0.1875,0.625,-0.375,-13.375,-19.875,-21.5625
